Taxon,Family,Subfamily,Clade,Constraint,Scientific Name,Data,Genes,Length
Anura,Allophrynidae,Allophryninae,Allophryninae_1,Allophryne,Allophryne relicta,1,2,2297
Anura,Allophrynidae,Allophryninae,Allophryninae_2,Allophryne,Allophryne resplendens,1,2,1999
Anura,Allophrynidae,Allophryninae,Allophryninae_3,Allophryne,Allophryne ruthveni,1,12,7032
Anura,Alsodidae,Alsodinae,Alsodinae,Alsodes,Alsodes australis,1,1,304
Anura,Alsodidae,Alsodinae,Alsodinae,Alsodes,Alsodes barrioi,1,7,4741
Anura,Alsodidae,Alsodinae,Alsodinae,Alsodes,Alsodes coppingeri,1,7,4740
Anura,Alsodidae,Alsodinae,Alsodinae,Alsodes,Alsodes gargola,1,9,6027
Anura,Alsodidae,Alsodinae,Alsodinae,Alsodes,Alsodes hugoi,1,6,4410
Anura,Alsodidae,Alsodinae,Alsodinae,Alsodes,Alsodes igneus,1,7,4740
Anura,Alsodidae,Alsodinae,Alsodinae,Alsodes,Alsodes kaweshkari,1,1,304
Anura,Alsodidae,Alsodinae,Alsodinae,Alsodes,Alsodes montanus,0,0,0
Anura,Alsodidae,Alsodinae,Alsodinae,Alsodes,Alsodes monticola,1,2,1160
Anura,Alsodidae,Alsodinae,Alsodinae,Alsodes,Alsodes neuquensis,1,5,3873
Anura,Alsodidae,Alsodinae,Alsodinae,Alsodes,Alsodes nodosus,1,6,2865
Anura,Alsodidae,Alsodinae,Alsodinae,Alsodes,Alsodes norae,1,6,4412
Anura,Alsodidae,Alsodinae,Alsodinae,Alsodes,Alsodes pehuenche,1,7,5335
Anura,Alsodidae,Alsodinae,Alsodinae,Alsodes,Alsodes tumultuosus,1,7,3298
Anura,Alsodidae,Alsodinae,Alsodinae,Alsodes,Alsodes valdiviensis,1,7,4740
Anura,Alsodidae,Alsodinae,Alsodinae,Alsodes,Alsodes vanzolinii,1,6,3725
Anura,Alsodidae,Alsodinae,Alsodinae,Alsodes,Alsodes verrucosus,1,7,5358
Anura,Alsodidae,Alsodinae,Alsodinae,Alsodes,Alsodes vittatus,0,0,0
Anura,Alsodidae,Alsodinae,Alsodinae,Eupsophus,Eupsophus altor,1,6,4185
Anura,Alsodidae,Alsodinae,Alsodinae,Eupsophus,Eupsophus calcaratus,1,12,8496
Anura,Alsodidae,Alsodinae,Alsodinae,Eupsophus,Eupsophus contulmoensis,1,6,4316
Anura,Alsodidae,Alsodinae,Alsodinae,Eupsophus,Eupsophus emiliopugini,1,7,4844
Anura,Alsodidae,Alsodinae,Alsodinae,Eupsophus,Eupsophus insularis,1,6,4318
Anura,Alsodidae,Alsodinae,Alsodinae,Eupsophus,Eupsophus migueli,1,6,4318
Anura,Alsodidae,Alsodinae,Alsodinae,Eupsophus,Eupsophus nahuelbutensis,1,7,4725
Anura,Alsodidae,Alsodinae,Alsodinae,Eupsophus,Eupsophus roseus,1,7,4862
Anura,Alsodidae,Alsodinae,Alsodinae,Eupsophus,Eupsophus septentrionalis,1,5,3383
Anura,Alsodidae,Alsodinae,Alsodinae,Eupsophus,Eupsophus vertebralis,1,6,4315
Anura,Alsodidae,Alsodinae,Alsodinae,Limnomedusa,Limnomedusa macroglossa,1,9,5343
Anura,Alytidae,Alytinae,Alytinae_1,Alytes,Alytes cisternasii,1,3,1196
Anura,Alytidae,Alytinae,Alytinae_2,Alytes,Alytes dickhilleni,1,9,4822
Anura,Alytidae,Alytinae,Alytinae_3,Alytes,Alytes maurus,1,4,1520
Anura,Alytidae,Alytinae,Alytinae_4,Alytes,Alytes muletensis,1,7,4786
Anura,Alytidae,Alytinae,Alytinae_5,Alytes,Alytes obstetricans,1,14,10557
Anura,Alytidae,Discoglossinae,Discoglossinae_1,Discoglossus,Discoglossus galganoi,1,10,7038
Anura,Alytidae,Discoglossinae,Discoglossinae_2,Discoglossus,Discoglossus montalentii,1,9,5630
Anura,Alytidae,Discoglossinae,Discoglossinae_3,Discoglossus,Discoglossus pictus,1,13,8573
Anura,Alytidae,Discoglossinae,Discoglossinae_4,Discoglossus,Discoglossus sardus,1,10,6637
Anura,Alytidae,Discoglossinae,Discoglossinae_5,Discoglossus,Discoglossus scovazzi,1,10,7386
Anura,Alytidae,Discoglossinae,Discoglossinae_6,Latonia,Latonia nigriventer,1,6,2556
Anura,Arthroleptidae,Arthroleptinae,Arthroleptinae,Arthroleptis,Arthroleptis adelphus,1,2,2176
Anura,Arthroleptidae,Arthroleptinae,Arthroleptinae,Arthroleptis,Arthroleptis adolfifriederici,1,3,1185
Anura,Arthroleptidae,Arthroleptinae,Arthroleptinae,Arthroleptis,Arthroleptis affinis,1,2,1755
Anura,Arthroleptidae,Arthroleptinae,Arthroleptinae,Arthroleptis,Arthroleptis anotis,0,0,0
Anura,Arthroleptidae,Arthroleptinae,Arthroleptinae,Arthroleptis,Arthroleptis aureoli,1,2,929
Anura,Arthroleptidae,Arthroleptinae,Arthroleptinae,Arthroleptis,Arthroleptis bioko,1,2,2119
Anura,Arthroleptidae,Arthroleptinae,Arthroleptinae,Arthroleptis,Arthroleptis bivittatus,0,0,0
Anura,Arthroleptidae,Arthroleptinae,Arthroleptinae,Arthroleptis,Arthroleptis brevipes,1,2,2068
Anura,Arthroleptidae,Arthroleptinae,Arthroleptinae,Arthroleptis,Arthroleptis carquejai,0,0,0
Anura,Arthroleptidae,Arthroleptinae,Arthroleptinae,Arthroleptis,Arthroleptis crusculum,1,1,376
Anura,Arthroleptidae,Arthroleptinae,Arthroleptinae,Arthroleptis,Arthroleptis discodactylus,0,0,0
Anura,Arthroleptidae,Arthroleptinae,Arthroleptinae,Arthroleptis,Arthroleptis fichika,1,2,1650
Anura,Arthroleptidae,Arthroleptinae,Arthroleptinae,Arthroleptis,Arthroleptis formosus,1,1,377
Anura,Arthroleptidae,Arthroleptinae,Arthroleptinae,Arthroleptis,Arthroleptis francei,1,2,2170
Anura,Arthroleptidae,Arthroleptinae,Arthroleptinae,Arthroleptis,Arthroleptis hematogaster,0,0,0
Anura,Arthroleptidae,Arthroleptinae,Arthroleptinae,Arthroleptis,Arthroleptis kidogo,1,2,1152
Anura,Arthroleptidae,Arthroleptinae,Arthroleptinae,Arthroleptis,Arthroleptis krokosua,1,1,523
Anura,Arthroleptidae,Arthroleptinae,Arthroleptinae,Arthroleptis,Arthroleptis kutogundua,0,0,0
Anura,Arthroleptidae,Arthroleptinae,Arthroleptinae,Arthroleptis,Arthroleptis lameerei,0,0,0
Anura,Arthroleptidae,Arthroleptinae,Arthroleptinae,Arthroleptis,Arthroleptis langeri,1,1,530
Anura,Arthroleptidae,Arthroleptinae,Arthroleptinae,Arthroleptis,Arthroleptis lonnbergi,0,0,0
Anura,Arthroleptidae,Arthroleptinae,Arthroleptinae,Arthroleptis,Arthroleptis loveridgei,0,0,0
Anura,Arthroleptidae,Arthroleptinae,Arthroleptinae,Arthroleptis,Arthroleptis mossoensis,0,0,0
Anura,Arthroleptidae,Arthroleptinae,Arthroleptinae,Arthroleptis,Arthroleptis nguruensis,0,0,0
Anura,Arthroleptidae,Arthroleptinae,Arthroleptinae,Arthroleptis,Arthroleptis nikeae,1,2,1735
